('Sn_t', [[46, 7, 30, 15], [20, 80]])
('qwSy', [[23, 30, 30, 15], [18, 81]])
('nkf', [[50, 12, 0, 37], [23, 76]])
('ns_y', [[15, 69, 15, 0], [0, 100]])
('`br', [[30, 45, 5, 20], [22, 77]])
('Sb_b', [[50, 12, 8, 28], [15, 84]])
('wars', [[18, 36, 27, 18], [26, 73]])
('qdw', [[35, 50, 10, 5], [52, 47]])
('mgWs', [[28, 52, 8, 12], [19, 80]])
('gbrr', [[3, 81, 14, 0], [29, 70]])
('mgWt', [[31, 50, 7, 9], [28, 71]])
('gbrw', [[0, 70, 20, 10], [25, 75]])
('gbry', [[18, 70, 7, 3], [25, 75]])
('Sb_q', [[22, 30, 15, 32], [17, 82]])
('zamd', [[19, 47, 2, 30], [34, 66]])
('Sf_`', [[20, 20, 20, 40], [23, 76]])
('Tqmy', [[11, 41, 35, 11], [17, 82]])
('Sf_f', [[40, 20, 3, 36], [33, 66]])
('frHy', [[30, 60, 10, 0], [60, 40]])
('Sb_H', [[25, 41, 25, 8], [7, 92]])
('Hm_m', [[59, 5, 8, 27], [38, 61]])
('`qmy', [[35, 0, 50, 14], [6, 93]])
('tCbT', [[0, 90, 0, 9], [25, 75]])
('Hm_q', [[50, 13, 13, 22], [9, 90]])
('Hm_s', [[13, 50, 6, 30], [20, 80]])
('lqH', [[20, 10, 50, 20], [20, 80]])
('Sd_f', [[42, 7, 28, 21], [26, 73]])
('Hm_y', [[15, 52, 30, 2], [20, 79]])
('qWr_n', [[11, 46, 7, 34], [14, 85]])
('mw_l', [[21, 71, 5, 2], [55, 44]])
('wn_y', [[8, 66, 25, 0], [30, 69]])
('qWarS', [[38, 38, 0, 23], [26, 73]])
('bl_H', [[26, 26, 6, 40], [40, 60]])
('mw_y', [[25, 66, 8, 0], [11, 88]])
('wgnn', [[0, 82, 17, 0], [17, 82]])
('qWr_y', [[5, 82, 11, 0], [11, 88]])
('bl_S', [[36, 25, 15, 23], [30, 69]])
('lg_s', [[0, 89, 10, 0], [25, 74]])
('ms_T', [[30, 41, 2, 25], [50, 50]])
('dyk', [[53, 13, 33, 0], [18, 81]])
('lg_y', [[7, 78, 7, 7], [40, 60]])
('qHr', [[25, 41, 0, 33], [30, 69]])
('ms_l', [[5, 66, 28, 0], [21, 78]])
('zm_d', [[33, 39, 3, 23], [27, 72]])
('ms_n', [[10, 30, 20, 40], [20, 80]])
('b`t', [[12, 36, 52, 0], [3, 96]])
('b`w', [[42, 28, 7, 21], [6, 93]])
('bl_`', [[0, 100, 0, 0], [41, 58]])
('bn_y', [[21, 65, 13, 0], [56, 44]])
('bl_n', [[7, 71, 14, 7], [64, 35]])
('bl_l', [[18, 66, 3, 11], [48, 51]])
('!tk', [[91, 4, 0, 4], [34, 65]])
('bl_w', [[9, 36, 9, 45], [36, 63]])
('!tt', [[0, 91, 8, 0], [45, 54]])
('ms_y', [[25, 16, 58, 0], [6, 93]])
('mzny', [[63, 27, 9, 0], [18, 81]])
('ms_t', [[27, 54, 18, 0], [0, 100]])
('bl_y', [[28, 40, 25, 5], [43, 56]])
('bn_n', [[30, 38, 7, 23], [53, 46]])
('mr`y', [[75, 0, 25, 0], [10, 89]])
('r`d', [[24, 56, 2, 17], [40, 59]])
('md_n', [[0, 88, 0, 11], [88, 11]])
('dskl', [[19, 38, 4, 38], [22, 77]])
('r`m', [[25, 55, 0, 19], [31, 68]])
('md_w', [[0, 30, 0, 70], [50, 50]])
('md_r', [[25, 50, 9, 15], [18, 81]])
('r`y', [[25, 58, 0, 16], [58, 41]])
('md_y', [[28, 21, 50, 0], [36, 63]])
('!bzH', [[31, 0, 12, 56], [0, 100]])
('zrzr', [[25, 43, 5, 25], [29, 70]])
('rkby', [[35, 29, 29, 5], [36, 63]])
('rkbw', [[0, 33, 16, 50], [50, 50]])
('rkbb', [[0, 73, 26, 0], [33, 66]])
('Slm', [[50, 10, 10, 30], [10, 90]])
('ws_y', [[27, 50, 5, 16], [13, 86]])
('kbdd', [[0, 9, 90, 0], [9, 90]])
('Hnff', [[40, 40, 0, 20], [20, 80]])
('rrr', [[88, 12, 0, 0], [36, 64]])
('ws_b', [[36, 42, 0, 21], [47, 52]])
('rHqq', [[0, 100, 0, 0], [10, 89]])
('ws_d', [[12, 75, 12, 0], [25, 75]])
('ts!y', [[26, 60, 13, 0], [16, 84]])
('rHqy', [[0, 100, 0, 0], [10, 90]])
('br`n', [[14, 35, 14, 35], [33, 66]])
('`jb', [[40, 23, 0, 35], [21, 78]])
('mT_w', [[28, 42, 7, 21], [42, 57]])
('mT_r', [[41, 41, 0, 16], [14, 85]])
('bany', [[42, 42, 14, 0], [56, 43]])
('lt_y', [[13, 63, 23, 0], [0, 100]])
('gCw', [[36, 36, 0, 28], [46, 53]])
('mT_n', [[65, 30, 0, 5], [62, 37]])
('wy_y', [[15, 15, 53, 15], [0, 100]])
('mk_H', [[14, 57, 7, 21], [26, 73]])
('qWz_m', [[9, 81, 0, 9], [36, 63]])
('mk_t', [[25, 52, 4, 18], [26, 73]])
