('rgf', [[25, 48, 2, 23], [30, 69]])
('rgWd', [[30, 45, 10, 15], [36, 63]])
('saqy', [[39, 56, 3, 1], [49, 50]])
('slky', [[52, 31, 10, 5], [25, 75]])
('sl_m', [[32, 30, 16, 20], [19, 80]])
('sHl', [[33, 38, 0, 27], [33, 66]])
('sHq', [[41, 34, 8, 15], [19, 80]])
('sHb', [[21, 56, 5, 16], [32, 67]])
('sHt', [[25, 53, 6, 15], [30, 69]])
('smr', [[35, 30, 10, 23], [23, 76]])
('sm`', [[25, 54, 3, 16], [36, 63]])
('srH', [[25, 54, 5, 14], [37, 62]])
('srq', [[29, 40, 4, 26], [30, 69]])
('sr`', [[27, 48, 4, 20], [26, 73]])
('srS', [[29, 53, 2, 14], [48, 51]])
('sr_t', [[57, 14, 17, 11], [41, 58]])
('sql', [[50, 24, 3, 21], [37, 62]])
('sbr', [[40, 40, 4, 13], [31, 68]])
('sbk', [[20, 67, 6, 4], [22, 77]])
('str', [[6, 40, 13, 40], [23, 76]])
('sty', [[32, 49, 4, 14], [26, 73]])
('stf', [[40, 45, 2, 11], [49, 50]])
('snbt', [[36, 26, 3, 33], [19, 80]])
('snbd', [[34, 34, 3, 26], [30, 69]])
('sndw', [[25, 40, 12, 22], [24, 75]])
('snTq', [[23, 30, 3, 43], [22, 77]])
('sn_y', [[24, 57, 11, 7], [31, 68]])
('s!l', [[28, 50, 6, 13], [37, 62]])
('sk_m', [[19, 51, 1, 26], [37, 62]])
('sw_r', [[28, 31, 15, 23], [36, 63]])
('s`m', [[43, 32, 5, 18], [9, 90]])
('s`r', [[24, 48, 4, 22], [28, 72]])
('s`s`', [[12, 70, 0, 16], [28, 71]])
('s`b', [[27, 56, 4, 11], [33, 66]])
('sdd', [[30, 48, 6, 13], [32, 67]])
('sgr', [[29, 48, 1, 20], [29, 70]])
('sgW_m', [[36, 45, 11, 6], [31, 68]])
('sTH', [[14, 32, 0, 53], [16, 83]])
('sfH', [[23, 51, 3, 21], [33, 66]])
('sfy', [[25, 74, 0, 0], [18, 81]])
('sff', [[6, 93, 0, 0], [30, 70]])
('s|tnfs', [[39, 43, 4, 13], [42, 57]])
('xql', [[35, 41, 6, 16], [43, 56]])
('xt_t', [[15, 73, 0, 10], [52, 47]])
('xk_m', [[31, 18, 0, 50], [31, 68]])
('xwm', [[54, 18, 27, 0], [38, 61]])
('xyT', [[20, 54, 11, 13], [30, 69]])
('xf_n', [[23, 53, 5, 16], [29, 70]])
('qals', [[27, 53, 9, 9], [37, 62]])
('qany', [[26, 52, 21, 0], [33, 66]])
('qll', [[14, 58, 5, 21], [37, 62]])
('qlql', [[32, 49, 0, 18], [34, 65]])
('ql`', [[24, 51, 5, 18], [34, 65]])
('qlTf', [[20, 35, 9, 33], [22, 77]])
('qm_T', [[26, 47, 6, 19], [38, 61]])
('qrb', [[36, 41, 4, 17], [42, 57]])
('qrS', [[34, 44, 4, 16], [46, 53]])
('qsm', [[30, 49, 0, 20], [42, 57]])
('qb!', [[31, 31, 4, 31], [34, 65]])
('qb_l', [[31, 46, 5, 15], [35, 64]])
('qtl', [[33, 45, 6, 14], [38, 61]])
('qn`', [[28, 39, 1, 30], [26, 73]])
('qnTT', [[34, 43, 3, 18], [28, 71]])
('qn_y', [[39, 28, 24, 7], [36, 63]])
('qwm', [[32, 49, 7, 10], [40, 59]])
('qy_m', [[15, 68, 15, 0], [20, 80]])
('qy_r', [[26, 60, 9, 3], [31, 68]])
('qdH', [[39, 35, 3, 21], [16, 83]])
('qdd', [[25, 50, 10, 15], [22, 77]])
('qd_m', [[23, 35, 7, 33], [23, 76]])
('qS`', [[16, 59, 1, 22], [36, 63]])
('qS_l', [[24, 53, 9, 12], [31, 68]])
('qWrs', [[16, 33, 8, 41], [7, 92]])
('qWrS', [[36, 36, 5, 21], [33, 66]])
('qWsl', [[50, 21, 2, 26], [65, 34]])
('qWnSb', [[7, 69, 0, 23], [53, 46]])
('qWT_b', [[18, 47, 11, 21], [18, 81]])
('qWSr', [[27, 53, 2, 15], [33, 66]])
('bar`', [[36, 47, 10, 5], [22, 77]])
('bakn', [[30, 54, 9, 6], [38, 61]])
('badm', [[14, 35, 28, 21], [22, 77]])
('bhl', [[37, 46, 5, 10], [38, 61]])
('blaxw', [[39, 43, 1, 15], [37, 62]])
('bl`', [[20, 58, 4, 16], [27, 72]])
('brabr', [[27, 43, 5, 23], [29, 70]])
('brh', [[21, 48, 8, 21], [15, 84]])
('brr', [[17, 61, 3, 17], [37, 62]])
('brkt', [[39, 37, 6, 15], [42, 57]])
('bsl', [[45, 22, 15, 17], [23, 76]])
('bqWl', [[29, 44, 14, 10], [36, 63]])
('bt_n', [[26, 48, 5, 19], [30, 69]])
('b!s', [[30, 47, 3, 18], [34, 65]])
('bky', [[27, 51, 13, 6], [15, 84]])
('bkWr', [[31, 31, 15, 21], [47, 52]])
('b`l', [[24, 44, 15, 15], [23, 76]])
('bSH', [[25, 54, 1, 18], [30, 69]])
('tall', [[20, 45, 11, 22], [23, 76]])
('tHt', [[49, 28, 7, 15], [31, 68]])
('tHz', [[30, 34, 8, 25], [33, 66]])
('tmny', [[32, 64, 0, 4], [53, 46]])
('trgWm', [[14, 68, 11, 4], [26, 73]])
('trf', [[34, 42, 5, 17], [34, 65]])
('tsfy', [[52, 5, 35, 5], [10, 90]])
('tb`', [[14, 51, 5, 28], [24, 75]])
('tns!', [[31, 40, 7, 21], [23, 76]])
('tnkf', [[30, 49, 4, 17], [41, 59]])
('tnfs', [[5, 50, 30, 15], [28, 72]])
('tkl', [[39, 38, 6, 16], [35, 64]])
('tkk', [[21, 69, 8, 0], [43, 56]])
('tk_!', [[18, 55, 3, 22], [28, 71]])
('tkW_s', [[39, 40, 12, 8], [36, 63]])
('naby', [[15, 57, 27, 0], [20, 79]])
('nady', [[9, 57, 27, 6], [15, 84]])
('nx_w', [[0, 90, 10, 0], [10, 90]])
('nql', [[44, 31, 1, 22], [48, 52]])
('nqnq', [[29, 45, 2, 21], [27, 72]])
('nqS', [[33, 33, 10, 23], [38, 61]])
('nqf', [[23, 58, 4, 13], [28, 71]])
('nbH', [[26, 52, 5, 15], [21, 78]])
('nbr', [[43, 35, 5, 15], [48, 51]])
('nbb', [[36, 36, 9, 17], [32, 67]])
('n!s', [[24, 43, 5, 26], [38, 61]])
('nks', [[35, 35, 0, 29], [24, 75]])
('nk_y', [[27, 64, 6, 1], [29, 70]])
('nwH', [[15, 72, 2, 9], [46, 53]])
('n`q', [[29, 31, 4, 34], [31, 68]])
('nzH', [[16, 66, 0, 16], [43, 56]])
('ndd', [[28, 48, 5, 17], [33, 66]])
('ndf', [[43, 23, 0, 33], [34, 65]])
('ngr', [[35, 41, 8, 15], [29, 70]])
('ngf', [[25, 45, 2, 27], [23, 76]])
('ngWd', [[42, 14, 42, 0], [6, 93]])
('nTr', [[25, 45, 8, 20], [20, 79]])
('nTb', [[47, 31, 10, 10], [42, 57]])
('nSh', [[0, 30, 7, 61], [14, 85]])
('nSg', [[39, 40, 5, 16], [40, 59]])
('nS_r', [[33, 36, 7, 22], [26, 73]])
('nfH', [[30, 23, 3, 42], [18, 81]])
('nfr', [[0, 76, 14, 9], [18, 81]])
('nfs', [[40, 46, 3, 9], [24, 75]])
('n|saff', [[31, 50, 0, 18], [42, 57]])
('n|qsaqs', [[15, 67, 5, 11], [44, 55]])
('n|qTqT', [[33, 44, 0, 22], [30, 70]])
('n|TlTl', [[25, 28, 0, 46], [36, 63]])
('n|Sbarq', [[21, 59, 0, 19], [50, 49]])
('!lm', [[62, 33, 3, 0], [59, 40]])
('!ly', [[30, 49, 5, 14], [22, 77]])
('!mazn', [[9, 0, 27, 63], [0, 100]])
('!mn', [[25, 54, 5, 14], [41, 58]])
('!ry', [[28, 40, 16, 16], [6, 93]])
('!rg', [[43, 21, 3, 31], [31, 68]])
('!sr', [[37, 39, 3, 19], [38, 61]])
('!by', [[50, 20, 0, 29], [28, 71]])
('!tw', [[33, 46, 4, 16], [38, 61]])
('!ngd', [[30, 52, 0, 17], [34, 65]])
('!kl', [[34, 46, 1, 17], [35, 64]])
('!k_b', [[33, 38, 5, 22], [34, 65]])
('!w_d', [[7, 69, 23, 0], [30, 69]])
('!w_j', [[45, 30, 10, 13], [41, 58]])
('!z_z', [[43, 41, 2, 12], [47, 52]])
('!g_d', [[33, 40, 3, 23], [30, 70]])
('klkl', [[24, 63, 2, 9], [31, 68]])
('kry', [[18, 50, 16, 14], [28, 71]])
('kss', [[26, 55, 0, 17], [32, 67]])
('kx_n', [[9, 36, 0, 54], [36, 63]])
('kbr', [[22, 50, 6, 20], [40, 59]])
('kbb', [[40, 19, 3, 36], [35, 64]])
('kt`', [[21, 52, 5, 21], [47, 52]])
('kt_l', [[22, 60, 3, 13], [39, 60]])
('knakn', [[18, 78, 0, 3], [19, 80]])
('k!l', [[34, 50, 3, 11], [52, 47]])
('kwn', [[33, 36, 12, 18], [34, 65]])
('kw_l', [[19, 42, 12, 25], [21, 78]])
('k`w', [[42, 19, 3, 34], [29, 70]])
('kzn', [[40, 31, 0, 27], [43, 56]])
('kyd', [[34, 48, 9, 8], [45, 54]])
('kdn', [[33, 28, 14, 22], [30, 69]])
('kd`', [[30, 20, 10, 40], [41, 58]])
('kfl', [[30, 49, 5, 14], [42, 57]])
('kft', [[37, 39, 7, 15], [28, 71]])
('kWr_y', [[28, 28, 33, 9], [31, 68]])
('kWskWs', [[18, 59, 6, 16], [30, 69]])
('kWn_n', [[23, 37, 21, 17], [17, 82]])
('kW`t', [[37, 44, 0, 18], [46, 53]])
('wany', [[13, 20, 66, 0], [0, 100]])
('whb', [[27, 56, 3, 11], [42, 57]])
('wlwl', [[25, 65, 0, 10], [42, 57]])
('wld', [[47, 31, 11, 10], [42, 57]])
('wl_`', [[32, 43, 1, 21], [31, 68]])
('wHs', [[26, 55, 1, 16], [41, 58]])
('wHz', [[17, 68, 4, 10], [40, 60]])
('wHT', [[23, 47, 2, 26], [33, 66]])
('wrr', [[24, 44, 2, 27], [23, 76]])
('wrd', [[32, 45, 3, 18], [35, 64]])
('wsd', [[32, 49, 6, 11], [37, 62]])
('ws_n', [[39, 44, 4, 11], [51, 48]])
('ws_k', [[23, 50, 7, 19], [25, 74]])
('wqs', [[16, 67, 1, 14], [33, 66]])
('wq`', [[27, 50, 6, 16], [28, 71]])
('wt_f', [[36, 27, 0, 36], [23, 76]])
('wnCf', [[27, 55, 5, 11], [30, 70]])
('wn_n', [[14, 72, 3, 9], [48, 51]])
('wk_l', [[16, 62, 7, 14], [49, 50]])
('w`l', [[32, 49, 5, 13], [39, 60]])
('w`y', [[9, 63, 9, 18], [24, 76]])
('wdq', [[35, 41, 3, 19], [32, 67]])
('wd_!', [[35, 37, 4, 22], [30, 69]])
('wg!', [[21, 40, 7, 30], [33, 66]])
('wg_z', [[50, 18, 6, 25], [31, 68]])
('wg_d', [[10, 52, 10, 26], [16, 83]])
('wT_H', [[18, 43, 0, 37], [40, 60]])
('wT_T', [[11, 44, 0, 44], [20, 79]])
('wS!', [[35, 42, 4, 17], [37, 62]])
('wf_y', [[45, 35, 9, 10], [45, 54]])
('`ll', [[28, 46, 5, 19], [27, 72]])
('`lb', [[40, 40, 0, 19], [38, 61]])
('`l_m', [[51, 25, 6, 17], [41, 58]])
('`mbb', [[18, 54, 9, 18], [36, 63]])
('`rf', [[40, 37, 6, 17], [30, 69]])
('`r_y', [[26, 64, 4, 4], [23, 76]])
('`q_b', [[14, 66, 5, 13], [31, 68]])
('`q_n', [[5, 70, 5, 20], [45, 55]])
('`bll', [[27, 48, 1, 22], [44, 55]])
('`by', [[45, 44, 5, 4], [44, 55]])
('`nqS', [[18, 66, 3, 11], [29, 70]])
('`nqf', [[20, 58, 1, 20], [34, 65]])
('`nw', [[39, 46, 0, 14], [44, 55]])
('`ndr', [[18, 70, 3, 7], [37, 62]])
('`w_t', [[36, 43, 3, 16], [33, 66]])
('`z_b', [[36, 47, 1, 14], [32, 67]])
('`yy', [[26, 48, 23, 0], [31, 68]])
('`d_l', [[51, 32, 2, 13], [51, 48]])
('`d_m', [[33, 41, 2, 22], [28, 71]])
('`d_g', [[31, 46, 5, 16], [42, 57]])
('`gt', [[24, 55, 0, 20], [23, 76]])
('`Tq', [[32, 35, 2, 30], [41, 58]])
('`Sw', [[35, 35, 4, 24], [24, 75]])
('`Sd', [[23, 57, 3, 15], [33, 66]])
('`Sf', [[31, 46, 0, 22], [38, 61]])
('zll', [[16, 67, 3, 11], [61, 38]])
('zHl', [[17, 55, 6, 20], [30, 69]])
('zmt', [[27, 42, 12, 17], [23, 76]])
('zm_r', [[29, 47, 8, 14], [34, 65]])
('zrb', [[33, 48, 6, 11], [34, 65]])
('zr!', [[37, 45, 1, 15], [34, 65]])
('zrgH', [[17, 59, 5, 18], [36, 63]])
('zbT', [[28, 48, 0, 24], [16, 84]])
('zt_y', [[18, 69, 5, 6], [27, 72]])
('znb', [[44, 34, 4, 16], [32, 67]])
('zntw', [[20, 51, 9, 18], [28, 71]])
('zng`', [[18, 48, 7, 24], [21, 78]])
('zk_r', [[17, 60, 8, 14], [28, 71]])
('zwr', [[22, 57, 7, 12], [26, 73]])
('zwtr', [[0, 100, 0, 0], [46, 53]])
('zzw', [[6, 25, 6, 62], [12, 87]])
