whd	0110000
Thnn	1100000
hyd	1011110
hwn	1000010
hWdd	1100000
lmlm	1010000
lmss	1100000
lmn	1111010
lmzmz	0110000
lmd	1111111
lmT	1100010	0010000
lmTmT	0100000
lm'	1010000
lsls	1000100	1010000
lsq	1100000
lxlx	1100000
lqlq	1010100
lqm	1010001
lqs	0111110
lqq	1111100
lqt	1110000
lq'	0110000
lblb	1000100
lbs	1010111
ltlt	1010000
ltm	1000100
lklk	1011000
lksks	0110000
lkf	0100000	1110111	1010111
lkfkf	0110000
lk'	1100010
lkWs	0100000	1100110	1000110
lkWskWs	0110000
lkWfkWf	0100000
lws	1100010	0110000
lwT	1101111
lzb	1110000
lzz	1010100
ly*	1100010
ldld	1010000
ldf	1100000
lgs	1100000
lgzgz	0110000
lgd	0000100
lgg	0010100
lgT	0000100
lg'	1000100
lgWm	1110000
lgWmgWm	0110000
lgWd	1100000
lTlT	1110000
lTs	1100000
lTq	1100110
lTT	1100000
lTf	1100000
lflf	1001100
lfsfs	0110000
lfdd	1000100
lfCq	1000100
lff	1100000
lf'	1111100
l'l'	1010000
l'm	1010000
l's	1010010
lxq	1010000
l'q	1010000
lqWT	1010000
l'b	0010000
ltn	1010000
l'k	1100010
lkk	1110000
l'T	1100010	1100000	1000010
l'f	1100000
mls	1101010
mlk	0110000
mlkt	0101110
mlT	1100010
msl	1111110
msql	0000110
msq'	0100000
mskr	1001100
msgn	0110000
msT	1100000
msTr	0010100
mrmr	1000100
mrr	1111100
mrq	1101000
mrqz	1010000
mrt	1110000
mrkWz	0101000
mrz	1100000
mrgd	1010000
mrT	1101100
mr'	1110000
mx*	1011000
mxk	1010000
mxg	1100000
mqN*	0100000
mt'	1110110
mc*	0110010
mnmn	1000100
mnx*	1110000
mnxnx	0110000
mnqr	1000100
mnck	1000100
mnkWs	1010000
mndg	1100000
mnTq	1100000
mnC*	1010000
mnCq	1000100
mkr	1100110
mkN*	0000100	0000100
mk'	0101000
mzbr	1100000
mzn	1011010
mzz	1100100
mzgb	1101000
mzgzg	0110000
mdb	1100000
mgl	1010000
mgb	1100000
mTq	1010000
mTn	1100010
mTwt	1100000
mTT	1110000
mCls	1100000
mSwt	1100000
mSdq	0000100
mld	1110000
mkl	0110000
m'g	1010000
mgr	1100000
mgT	1010000
m'T	0011000
mSn	0110000	0110000	0110000
mWlmWl	1010000
mWlqq	0000100
mWlC	1010000	1000100
mWlClC	0110000
mWlfT	0000100
mWl'	1100010
mWxlq	1000100
mWxr	1100000
mwq	1000010
